Año	Título	Corpus estilométrico
1973	Te he conocido antes	No
1973	Te pido que me comprendas	Sí
1973	Todo vuelve con él	No
1973	Tú me enseñaste a vivir	No
1973	Tu orgullo nos separa	Sí
1973	Vengo a buscarle a él	Sí
1973	Ya estoy casada	No
1973	Yo le conozco mejor	Sí
1974	Censuro tu presunción	No
1974	No me pides que me quede	No
1974	No nos preguntamos nada	No
1974	Nos separa tu mentira	No
1974	Nunca te confundí	No
1974	Quédate a mi lado	No
1974	Rosas para Nélida	No
1975	¡Ojalá vuelva!	No
1975	Antes me entendías mejor	No
1975	Aventura a bordo	No
1975	Busca una millonaria	No
1975	Buscamos novia para Marcel	No
1975	Busco a mi marido	No
1975	Cásate conmigo y verás	Sí
1975	Cuenta mi vida	No
1975	Debiste decírselo	No
1975	Déjame contártelo	Sí
1975	Déjame descansar aquí	No
1975	Díselo antes	Sí
1975	El destino vive aquí	No
1975	El odio vuelve contigo	No
1975	El tío Thomas	No
1975	Eres poco para ella	No
1975	Ese impertinente…	No
1975	Has vuelto a mí	No
1975	He de arreglar mi vida	No
1975	La hija de mi amigo	No
1975	La humildad de Chiara	Sí
1975	La raíz de todo eres tú	No
1975	Lauren	No
1975	Lo hice sin querer	No
1975	Me elegiste por temor	No
1975	Me he casado con mi marido	No
1975	Mi marido no me merece	No
1975	Mi ordinario marido	No
1975	Necesitaba ser así	Sí
1975	No eres como creen	No
